Data File,Dataset Type,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),Version,Sub-Category 1,Sub-Category 2,Sub-Category 3
C96_ERA5_forcing_2021-01-31.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-06-22.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-05-05.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-02-15.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-11-03.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-12-14.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-01-28.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-10-09.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-09-10.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2019-12-09.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-01-30.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-12-05.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2019-12-05.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-09-02.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-04-03.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-02-27.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-03-24.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-03-10.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-11-15.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-12-16.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-11-23.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-05-19.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-12-17.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-08-26.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-03-27.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-12-26.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-09-18.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-02-25.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-06-10.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-09-17.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-11-10.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-08-24.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-08-22.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-12-24.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-03-06.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-10-20.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-06-15.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2019-12-12.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-10-07.nc,,96,,.nc,12313780,,forcing,C96,datm
