Data File,Category,Sub-Category,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY,Dataset Type
ufs-land_C96_init_fields.tile5.nc,NEMSfv3gfs,NOAHMP_IC,96,,.nc,665156,,input-data-20221101
ufs-land_C96_init_fields.tile1.nc,NEMSfv3gfs,NOAHMP_IC,96,,.nc,665156,,input-data-20221101
ufs-land_C96_init_fields.tile6.nc,NEMSfv3gfs,NOAHMP_IC,96,,.nc,665156,,input-data-20221101
ufs-land_C96_init_fields.tile4.nc,NEMSfv3gfs,NOAHMP_IC,96,,.nc,665156,,input-data-20221101
ufs-land_C96_init_fields.tile2.nc,NEMSfv3gfs,NOAHMP_IC,96,,.nc,665156,,input-data-20221101
C96_grid.tile2.nc,NEMSfv3gfs,FV3_input_data,96,,.nc,2094935,,input-data-20221101
grid_spec.nc,NEMSfv3gfs,FV3_input_data,,,.nc,21966,,input-data-20221101
C96_grid.tile6.nc,NEMSfv3gfs,FV3_input_data,96,,.nc,2094935,,input-data-20221101
C96_grid.tile3.nc,NEMSfv3gfs,FV3_input_data,96,,.nc,2094935,,input-data-20221101
C96_grid.tile5.nc,NEMSfv3gfs,FV3_input_data,96,,.nc,2094935,,input-data-20221101
C96_grid.tile1.nc,NEMSfv3gfs,FV3_input_data,96,,.nc,2094935,,input-data-20221101
C96_grid.tile4.nc,NEMSfv3gfs,FV3_input_data,96,,.nc,2094935,,input-data-20221101
.DS_Store,,,,,,6148,,
ufs_land_restart.2019-12-21_00-00-00.nc,restarts,,,,.nc,14111215,,era5
ghcn_snwd_ioda_20191209.nc,DA,GHCN,,,.nc,719345,2019,snow_depth
ghcn_snwd_ioda_20191206.nc,DA,GHCN,,,.nc,708843,2019,snow_depth
ghcn_snwd_ioda_20191210.nc,DA,GHCN,,,.nc,713148,2019,snow_depth
ghcn_snwd_ioda_20191201.nc,DA,GHCN,,,.nc,800800,2019,snow_depth
ghcn_snwd_ioda_20191222.nc,DA,GHCN,,,.nc,701210,2019,snow_depth
ghcn_snwd_ioda_20191228.nc,DA,GHCN,,,.nc,708174,2019,snow_depth
ghcn_snwd_ioda_20191204.nc,DA,GHCN,,,.nc,823777,2019,snow_depth
ghcn_snwd_ioda_20191218.nc,DA,GHCN,,,.nc,824274,2019,snow_depth
ghcn_snwd_ioda_20191205.nc,DA,GHCN,,,.nc,819326,2019,snow_depth
ghcn_snwd_ioda_20191231.nc,DA,GHCN,,,.nc,821610,2019,snow_depth
ghcn_snwd_ioda_20191219.nc,DA,GHCN,,,.nc,730404,2019,snow_depth
ghcn_snwd_ioda_20191208.nc,DA,GHCN,,,.nc,703323,2019,snow_depth
ghcn_snwd_ioda_20191220.nc,DA,GHCN,,,.nc,799744,2019,snow_depth
ghcn_snwd_ioda_20191226.nc,DA,GHCN,,,.nc,704339,2019,snow_depth
ghcn_snwd_ioda_20191221.nc,DA,GHCN,,,.nc,777701,2019,snow_depth
ghcn_snwd_ioda_20191223.nc,DA,GHCN,,,.nc,706007,2019,snow_depth
ghcn_snwd_ioda_20191224.nc,DA,GHCN,,,.nc,775872,2019,snow_depth
ghcn_snwd_ioda_20191217.nc,DA,GHCN,,,.nc,752763,2019,snow_depth
ghcn_snwd_ioda_20191212.nc,DA,GHCN,,,.nc,819014,2019,snow_depth
ghcn_snwd_ioda_20191203.nc,DA,GHCN,,,.nc,753292,2019,snow_depth
ghcn_snwd_ioda_20191207.nc,DA,GHCN,,,.nc,703525,2019,snow_depth
ghcn_snwd_ioda_20191214.nc,DA,GHCN,,,.nc,782670,2019,snow_depth
ghcn_snwd_ioda_20191225.nc,DA,GHCN,,,.nc,773582,2019,snow_depth
ghcn_snwd_ioda_20191229.nc,DA,GHCN,,,.nc,709069,2019,snow_depth
ghcn_snwd_ioda_20191216.nc,DA,GHCN,,,.nc,867381,2019,snow_depth
ghcn_snwd_ioda_20191227.nc,DA,GHCN,,,.nc,782771,2019,snow_depth
ghcn_snwd_ioda_20191230.nc,DA,GHCN,,,.nc,729992,2019,snow_depth
ghcn_snwd_ioda_20191211.nc,DA,GHCN,,,.nc,825097,2019,snow_depth
ghcn_snwd_ioda_20191213.nc,DA,GHCN,,,.nc,707773,2019,snow_depth
ghcn_snwd_ioda_20191215.nc,DA,GHCN,,,.nc,714440,2019,snow_depth
ghcn_snwd_ioda_20191202.nc,DA,GHCN,,,.nc,756437,2019,snow_depth
oro_C96.mx100.tile2.nc,forcing,orog_files,96,100,.nc,834883,,era5
oro_C96.mx100.tile3.nc,forcing,orog_files,96,100,.nc,834883,,era5
oro_C96.mx100.tile5.nc,forcing,orog_files,96,100,.nc,834883,,era5
oro_C96.mx100.tile4.nc,forcing,orog_files,96,100,.nc,834883,,era5
oro_C96.mx100.tile1.nc,forcing,orog_files,96,100,.nc,834883,,era5
oro_C96.mx100.tile6.nc,forcing,orog_files,96,100,.nc,834883,,era5
ufs-land_C96_init_2010-12-31_23-00-00.nc,forcing,init,96,,.nc,1321296,,era5
ufs-land_C96_static_fields.nc,forcing,static,96,,.nc,7991744,,era5
C96_ERA5_forcing_2021-09-04.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-11-04.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-17.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-03-24.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-07-18.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-03-28.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-07-12.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-13.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2019-12-31.nc,forcing,datm,96,,.nc,12313780,,era5
