Data File,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY
C96_ERA5_forcing_2021-07-09.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-16.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-05.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-24.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-16.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-23.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-31.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-17.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-13.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-06.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-25.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-06.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-11.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-06.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-18.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-20.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-26.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-30.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-04.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-02.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-26.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
