Data File,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY
C96_GDAS_forcing_2016-11-10.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-21.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-10-01.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-07-04.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-20.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-29.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-24.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-03.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-23.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-26.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-14.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-31.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-05.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-03-12.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-10.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-07.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-17.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-06.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-23.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-16.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-16.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-19.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-04-05.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-28.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-08-22.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-22.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-02.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-07-13.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-30.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-04-20.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-03.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-07-07.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-10-28.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-03-01.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-08-24.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-08.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-23.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-07.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-03.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-19.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-10-05.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-03-18.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-01.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-28.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-20.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-03-07.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-03-02.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-04.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-11.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-04-01.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-03-05.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-17.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-07.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-04-11.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-14.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-03-04.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-10.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-07.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-10-31.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-08-03.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-04-27.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-03-10.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-10-16.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-03.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-27.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
