Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),Sub-Category 1,Sub-Category 2,Sub-Category 3,Sub-Category 4,Sub-Category 5
ne_10m_urban_areas_landscan.dbf,Landda_develop_data,shapefiles,,,.dbf,2997797,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_1_states_provinces.prj,Landda_develop_data,shapefiles,,,.prj,143,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_boundary_lines_disputed_areas.README.html,Landda_develop_data,shapefiles,,,.html,22914,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_1_label_points.dbf,Landda_develop_data,shapefiles,,,.dbf,3408218,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_populated_places_simple.dbf,Landda_develop_data,shapefiles,,,.dbf,2243205,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_1_states_provinces_lakes.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_label_points.shx,Landda_develop_data,shapefiles,,,.shx,56804,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_boundary_lines_maritime_indicator.shp,Landda_develop_data,shapefiles,,,.shp,33508,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_antarctic_claim_limit_lines.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_boundary_lines_land.shp,Landda_develop_data,shapefiles,,,.shp,337156,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_antarctic_claim_limit_lines.dbf,Landda_develop_data,shapefiles,,,.dbf,1739,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_pacific_groupings.prj,Landda_develop_data,shapefiles,,,.prj,147,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_boundary_lines_land.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_1_states_provinces_lakes.dbf,Landda_develop_data,shapefiles,,,.dbf,188690,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_sovereignty.shp,Landda_develop_data,shapefiles,,,.shp,1609024,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_parks_and_protected_lands_line.dbf,Landda_develop_data,shapefiles,,,.dbf,14383,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_countries.README.html,Landda_develop_data,shapefiles,,,.html,24083,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_countries.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_boundary_lines_disputed_areas.VERSION.txt,Landda_develop_data,shapefiles,,,.txt,7,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_tiny_countries_scale_rank.README.html,Landda_develop_data,shapefiles,,,.html,27305,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_seams.shx,Landda_develop_data,shapefiles,,,.shx,308,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_populated_places.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_1_states_provinces_lines.prj,Landda_develop_data,shapefiles,,,.prj,143,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_tiny_countries_scale_rank.shx,Landda_develop_data,shapefiles,,,.shx,708,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_map_units.VERSION.txt,Landda_develop_data,shapefiles,,,.txt,7,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_boundary_lines_land.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_pacific_groupings.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_boundary_map_units.shx,Landda_develop_data,shapefiles,,,.shx,172,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_seams.prj,Landda_develop_data,shapefiles,,,.prj,147,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_railroads.README.html,Landda_develop_data,shapefiles,,,.html,23070,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_roads_north_america.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_1_states_provinces_scale_rank.README.html,Landda_develop_data,shapefiles,,,.html,25029,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_roads.shp,Landda_develop_data,shapefiles,,,.shp,14516880,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_admin_0_boundary_lines_land.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_boundary_lines_map_units.VERSION.txt,Landda_develop_data,shapefiles,,,.txt,7,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_admin_0_tiny_countries.README.html,Landda_develop_data,shapefiles,,,.html,24562,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_populated_places_simple.shx,Landda_develop_data,shapefiles,,,.shx,10092,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_admin_0_scale_rank.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_1_states_provinces_scale_rank.shp,Landda_develop_data,shapefiles,,,.shp,537436,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_1_states_provinces_lakes.shx,Landda_develop_data,shapefiles,,,.shx,36844,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_boundary_lines_disputed_areas.dbf,Landda_develop_data,shapefiles,,,.dbf,13513,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_1_states_provinces.shx,Landda_develop_data,shapefiles,,,.shx,36852,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_label_points.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_roads.shx,Landda_develop_data,shapefiles,,,.shx,452908,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_pacific_groupings.shx,Landda_develop_data,shapefiles,,,.shx,596,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_map_units.prj,Landda_develop_data,shapefiles,,,.prj,147,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_airports.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_tiny_countries.prj,Landda_develop_data,shapefiles,,,.prj,147,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_admin_1_states_provinces_lines.VERSION.txt,Landda_develop_data,shapefiles,,,.txt,7,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_pacific_groupings.README.html,Landda_develop_data,shapefiles,,,.html,26515,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_admin_0_countries.dbf,Landda_develop_data,shapefiles,,,.dbf,375450,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_boundary_lines_disputed_areas.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_1_states_provinces_lines.README.html,Landda_develop_data,shapefiles,,,.html,25029,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_admin_1_states_provinces_scale_rank.README.html,Landda_develop_data,shapefiles,,,.html,24714,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_breakaway_disputed_areas_scale_rank.shx,Landda_develop_data,shapefiles,,,.shx,300,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_countries.dbf,Landda_develop_data,shapefiles,,,.dbf,599487,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_admin_0_countries_lakes.VERSION.txt,Landda_develop_data,shapefiles,,,.txt,7,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_admin_0_pacific_groupings.prj,Landda_develop_data,shapefiles,,,.prj,147,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_railroads.dbf,Landda_develop_data,shapefiles,,,.dbf,4676409,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_boundary_lines_land.VERSION.txt,Landda_develop_data,shapefiles,,,.txt,7,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_admin_0_sovereignty.shx,Landda_develop_data,shapefiles,,,.shx,1468,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_railroads.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_admin_1_states_provinces_lakes.prj,Landda_develop_data,shapefiles,,,.prj,147,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_antarctic_claim_limit_lines.shx,Landda_develop_data,shapefiles,,,.shx,284,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_parks_and_protected_lands_scale_rank.README.html,Landda_develop_data,shapefiles,,,.html,26630,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_admin_1_states_provinces_scale_rank.shp,Landda_develop_data,shapefiles,,,.shp,40844,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_1_label_points.shp,Landda_develop_data,shapefiles,,,.shp,316052,NaturalEarth,natural_earth,cultural,inputs,
