Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),Data Format,File Size (Bytes),Version,Sub-Category 1,Sub-Category 2,Sub-Category 3
C96.substrate_temperature.tile3.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119595,,C96,FV3_fix_tiled,input-data-20221101
C96.soil_type.tile5.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119480,,C96,FV3_fix_tiled,input-data-20221101
C96.vegetation_greenness.tile2.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,525039,,C96,FV3_fix_tiled,input-data-20221101
C96.maximum_snow_albedo.tile3.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119490,,C96,FV3_fix_tiled,input-data-20221101
C96.vegetation_type.tile6.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119589,,C96,FV3_fix_tiled,input-data-20221101
C96.maximum_snow_albedo.tile4.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119490,,C96,FV3_fix_tiled,input-data-20221101
C96.slope_type.tile5.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119550,,C96,FV3_fix_tiled,input-data-20221101
C96.soil_type.tile4.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119480,,C96,FV3_fix_tiled,input-data-20221101
C96.vegetation_type.tile2.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119589,,C96,FV3_fix_tiled,input-data-20221101
C96.facsf.tile1.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119545,,C96,FV3_fix_tiled,input-data-20221101
C96.substrate_temperature.tile5.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119595,,C96,FV3_fix_tiled,input-data-20221101
C96.slope_type.tile6.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119550,,C96,FV3_fix_tiled,input-data-20221101
oro_C96.mx100.tile5.nc,input-data-20221101,NEMSfv3gfs,96,100,.nc,834883,,C96,FV3_fix_tiled,input-data-20221101
C96.maximum_snow_albedo.tile5.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119490,,C96,FV3_fix_tiled,input-data-20221101
C96.vegetation_greenness.tile3.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,525039,,C96,FV3_fix_tiled,input-data-20221101
C96.vegetation_type.tile3.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119589,,C96,FV3_fix_tiled,input-data-20221101
C96.substrate_temperature.tile2.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119595,,C96,FV3_fix_tiled,input-data-20221101
C96.substrate_temperature.tile4.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119595,,C96,FV3_fix_tiled,input-data-20221101
C96.soil_type.tile2.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119480,,C96,FV3_fix_tiled,input-data-20221101
C96.slope_type.tile4.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119550,,C96,FV3_fix_tiled,input-data-20221101
C96.snowfree_albedo.tile2.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,1857404,,C96,FV3_fix_tiled,input-data-20221101
C96.snowfree_albedo.tile4.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,1857404,,C96,FV3_fix_tiled,input-data-20221101
C96.substrate_temperature.tile1.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119595,,C96,FV3_fix_tiled,input-data-20221101
oro_C96.mx100.tile1.nc,input-data-20221101,NEMSfv3gfs,96,100,.nc,834883,,C96,FV3_fix_tiled,input-data-20221101
ufs_land_restart.2019-12-21_00-00-00.nc,,restarts,,,.nc,14111215,,,,era5
ufs.cpld.lnd.out.2000-01-03-00000.tile5.nc,,restarts,,,.nc,11555364,,,,gswp3
ufs.cpld.lnd.out.2000-01-03-00000.tile4.nc,,restarts,,,.nc,11555364,,,,gswp3
ufs_land_restart.2019-12-21_00-00-00.tile2.nc,,restarts,,,.nc,11487503,2019,,2019,gswp3
ufs_land_restart.2019-12-21_00-00-00.tile5.nc,,restarts,,,.nc,11487503,2019,,2019,gswp3
ufs_land_restart.2019-12-21_00-00-00.tile6.nc,,restarts,,,.nc,11487503,2019,,2019,gswp3
ufs_land_restart.2019-12-21_00-00-00.tile4.nc,,restarts,,,.nc,11487503,2019,,2019,gswp3
ufs_land_restart.2019-12-21_00-00-00.tile3.nc,,restarts,,,.nc,11487503,2019,,2019,gswp3
ufs_land_restart.2019-12-21_00-00-00.tile1.nc,,restarts,,,.nc,11487503,2019,,2019,gswp3
ufs.cpld.lnd.out.2000-01-03-00000.tile2.nc,,restarts,,,.nc,11555364,,,,gswp3
ufs.cpld.lnd.out.2000-01-03-00000.tile1.nc,,restarts,,,.nc,11555364,,,,gswp3
ufs.cpld.cpl.r.2000-01-03-00000.nc,,restarts,,,.nc,13390912,,,,gswp3
ufs.cpld.lnd.out.2000-01-03-00000.tile6.nc,,restarts,,,.nc,11555364,,,,gswp3
ufs.cpld.datm.r.2000-01-03-00000.nc,,restarts,,,.nc,18904,,,,gswp3
