Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),Data Format,File Size (Bytes),Version (YYYY),Sub-Category 1,Sub-Category 2,Sub-Category 3
ne_10m_admin_0_countries.shx,inputs,shapefiles,,,.shx,2140,,NaturalEarth,natural_earth,
ne_10m_admin_1_states_provinces_scale_rank.prj,inputs,shapefiles,,,.prj,145,,NaturalEarth,natural_earth,
ne_110m_populated_places.shp,inputs,shapefiles,,,.shp,6904,,NaturalEarth,natural_earth,
ne_10m_admin_0_boundary_lines_maritime_indicator.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_10m_admin_0_boundary_lines_land.shx,inputs,shapefiles,,,.shx,3796,,NaturalEarth,natural_earth,
ne_110m_populated_places_simple.dbf,inputs,shapefiles,,,.dbf,437435,,NaturalEarth,natural_earth,
ne_10m_admin_0_label_points.README.html,inputs,shapefiles,,,.html,24633,,NaturalEarth,natural_earth,
ne_10m_parks_and_protected_lands_line.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_10m_admin_0_boundary_lines_disputed_areas.prj,inputs,shapefiles,,,.prj,145,,NaturalEarth,natural_earth,
ne_50m_admin_0_scale_rank.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_50m_ports.VERSION.txt,inputs,shapefiles,,,.txt,5,,NaturalEarth,natural_earth,
ne_10m_admin_1_states_provinces_scale_rank_minor_islands.shp,inputs,shapefiles,,,.shp,21929572,,NaturalEarth,natural_earth,
ne_50m_admin_0_boundary_lines_maritime_indicator.shx,inputs,shapefiles,,,.shx,1748,,NaturalEarth,natural_earth,
ne_10m_admin_0_boundary_lines_land.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_10m_admin_1_states_provinces_lines.dbf,inputs,shapefiles,,,.dbf,14534524,,NaturalEarth,natural_earth,
ne_10m_parks_and_protected_lands_line.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_10m_admin_1_states_provinces_scale_rank_minor_islands.prj,inputs,shapefiles,,,.prj,145,,NaturalEarth,natural_earth,
ne_10m_urban_areas_landscan.dbf,inputs,shapefiles,,,.dbf,2997797,,NaturalEarth,natural_earth,
ne_50m_admin_1_states_provinces.prj,inputs,shapefiles,,,.prj,143,,NaturalEarth,natural_earth,
ne_50m_admin_0_boundary_lines_disputed_areas.README.html,inputs,shapefiles,,,.html,22914,,NaturalEarth,natural_earth,
ne_10m_admin_1_label_points.dbf,inputs,shapefiles,,,.dbf,3408218,,NaturalEarth,natural_earth,
ne_50m_populated_places_simple.dbf,inputs,shapefiles,,,.dbf,2243205,,NaturalEarth,natural_earth,
ne_10m_admin_1_states_provinces_lakes.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_10m_admin_0_label_points.shx,inputs,shapefiles,,,.shx,56804,,NaturalEarth,natural_earth,
ne_50m_admin_0_boundary_lines_maritime_indicator.shp,inputs,shapefiles,,,.shp,33508,,NaturalEarth,natural_earth,
ne_10m_admin_0_antarctic_claim_limit_lines.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_50m_admin_0_boundary_lines_land.shp,inputs,shapefiles,,,.shp,337156,,NaturalEarth,natural_earth,
ne_10m_admin_0_antarctic_claim_limit_lines.dbf,inputs,shapefiles,,,.dbf,1739,,NaturalEarth,natural_earth,
ne_50m_admin_0_pacific_groupings.prj,inputs,shapefiles,,,.prj,147,,NaturalEarth,natural_earth,
ne_10m_admin_0_boundary_lines_land.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_50m_admin_1_states_provinces_lakes.dbf,inputs,shapefiles,,,.dbf,188690,,NaturalEarth,natural_earth,
ne_50m_admin_0_sovereignty.shp,inputs,shapefiles,,,.shp,1609024,,NaturalEarth,natural_earth,
ne_10m_parks_and_protected_lands_line.dbf,inputs,shapefiles,,,.dbf,14383,,NaturalEarth,natural_earth,
ne_10m_admin_0_countries.README.html,inputs,shapefiles,,,.html,24083,,NaturalEarth,natural_earth,
ne_10m_admin_0_countries.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_10m_admin_0_boundary_lines_disputed_areas.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_50m_admin_0_tiny_countries_scale_rank.README.html,inputs,shapefiles,,,.html,27305,,NaturalEarth,natural_earth,
