Data File,UFS Component,Resolution (C),Ocean Resolution (o),Ocean Resolution (mx),Ocean Resolution (w/o symbol),Data Format,File Size (Bytes),Category,Sub-Category,Dataset,Version
usa_mask.epa_nei_200411.geos.4x5.nc,AQM,,,,,.nc,20891,MASKS,NEXUS,input-data-20221101,2014-07
usa_mask.epa_nei_200806.geos.1x1.nc,AQM,,,,,.nc,23579,MASKS,NEXUS,input-data-20221101,2014-07
usa_mask.epa_nei_200806.geos.4x5.nc,AQM,,,,,.nc,20871,MASKS,NEXUS,input-data-20221101,2014-07
AF_LANDMASK.geos.05x0666.global.nc,AQM,,,,,.nc,22670,MASKS,NEXUS,input-data-20221101,2018-09
BRAVO.MexicoMask.generic.1x1.nc,AQM,,,,,.nc,22821,MASKS,NEXUS,input-data-20221101,2018-09
CONUS_Mask.001x001.global.nc,AQM,,,,,.nc,11580671,MASKS,NEXUS,input-data-20221101,2018-09
CONUS_Mask.001x001.nc,AQM,,,,,.nc,566631,MASKS,NEXUS,input-data-20221101,2018-09
CONUS_Mask.01x01.nc,AQM,,,,,.nc,985488,MASKS,NEXUS,input-data-20221101,2018-09
CONUS_Mask_Mirror.001x001.global.nc,AQM,,,,,.nc,12809076,MASKS,NEXUS,input-data-20221101,2018-09
CONUS_Mask_Mirror.001x001.nc,AQM,,,,,.nc,582764,MASKS,NEXUS,input-data-20221101,2018-09
Canada_Mask.001x001.global.nc,AQM,,,,,.nc,12589774,MASKS,NEXUS,input-data-20221101,2018-09
Canada_Mask.001x001.nc,AQM,,,,,.nc,1712315,MASKS,NEXUS,input-data-20221101,2018-09
Canada_Mask_Mirror.001x001.global.nc,AQM,,,,,.nc,0,MASKS,NEXUS,input-data-20221101,2018-09
Canada_Mask_Mirror.001x001.nc,AQM,,,,,.nc,1794366,MASKS,NEXUS,input-data-20221101,2018-09
Canada_mask.gen.1x1.nc,AQM,,,,,.nc,24289,MASKS,NEXUS,input-data-20221101,2018-09
Canada_mask.geos.1x1.nc,AQM,,,,,.nc,23172,MASKS,NEXUS,input-data-20221101,2018-09
China_mask.generic.1x1.nc,AQM,,,,,.nc,22951,MASKS,NEXUS,input-data-20221101,2018-09
EMEP_mask.geos.1x1.20151222.nc,AQM,,,,,.nc,19610,MASKS,NEXUS,input-data-20221101,2018-09
EU_mask.generic.1x1.nc,AQM,,,,,.nc,19395,MASKS,NEXUS,input-data-20221101,2018-09
India_mask.generic.1x1.nc,AQM,,,,,.nc,21714,MASKS,NEXUS,input-data-20221101,2018-09
MIX_Asia_mask.generic.025x025.nc,AQM,,,,,.nc,45176,MASKS,NEXUS,input-data-20221101,2018-09
Mexico_Mask.001x001.global.nc,AQM,,,,,.nc,11486474,MASKS,NEXUS,input-data-20221101,2018-09
Mexico_Mask.001x001.nc,AQM,,,,,.nc,1423370,MASKS,NEXUS,input-data-20221101,2018-09
Mexico_Mask_Mirror.001x001.global.nc,AQM,,,,,.nc,12782966,MASKS,NEXUS,input-data-20221101,2018-09
Mexico_Mask_Mirror.001x001.nc,AQM,,,,,.nc,1562042,MASKS,NEXUS,input-data-20221101,2018-09
OMI_HTAP_MASK.nc,AQM,,,,,.nc,0,MASKS,NEXUS,input-data-20221101,2018-09
OMI_HTAP_ZEROMASK_2019.nc,AQM,,,,,.nc,311071263,MASKS,NEXUS,input-data-20221101,2018-09
SE_Asia_mask.generic.1x1.nc,AQM,,,,,.nc,23204,MASKS,NEXUS,input-data-20221101,2018-09
USA_LANDMASK_NEI2011_0.1x0.1.20160921.nc,AQM,,,,,.nc,39010,MASKS,NEXUS,input-data-20221101,2018-09
USA_LANDMASK_NEI2016Beta_0.1x0.1.20160921.corrected.nc,AQM,,,,,.nc,40189,MASKS,NEXUS,input-data-20221101,2018-09
USA_LANDMASK_NEI2016Beta_0.1x0.1.20160921.nc,AQM,,,,,.nc,39010,MASKS,NEXUS,input-data-20221101,2018-09
USA_mask.geos.1x1.nc,AQM,,,,,.nc,22955,MASKS,NEXUS,input-data-20221101,2018-09
tagged_CO_masks.generic.0.5x0.5.nc,AQM,,,,,.nc,151991,MASKS,NEXUS,input-data-20221101,2018-09
usa.mask.nei2005.geos.1x1.nc,AQM,,,,,.nc,22867,MASKS,NEXUS,input-data-20221101,2018-09
NEI2016v1_0.1x0.1_20190801_afdustadj.nc,AQM,,,,,.nc,121209339,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_ag.nc,AQM,,,,,.nc,12666287,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_airports.nc,AQM,,,,,.nc,177321478,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_cmv_c1c2_12.nc,AQM,,,,,.nc,15101815,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_cmv_c3_12.nc,AQM,,,,,.nc,20815449,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_nonpt.nc,AQM,,,,,.nc,366550750,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_nonroad.nc,AQM,,,,,.nc,332914936,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_npoilgas.nc,AQM,,,,,.nc,73992457,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_onroad.nc,AQM,,,,,.nc,362842948,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_onroadcaadj.nc,AQM,,,,,.nc,25393111,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_onroadcan.nc,AQM,,,,,.nc,180058434,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_onroadmex.nc,AQM,,,,,.nc,46478343,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_othafdustadj.nc,AQM,,,,,.nc,67271220,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_othar.nc,AQM,,,,,.nc,251678836,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_othpt.nc,AQM,,,,,.nc,62176173,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_othptdustadj.nc,AQM,,,,,.nc,22691392,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_pt_oilgas.nc,AQM,,,,,.nc,29350057,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_pt_ptnonipm.nc,AQM,,,,,.nc,67487443,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_ptegu.nc,AQM,,,,,.nc,14478440,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_ptnonipm.nc,AQM,,,,,.nc,122181783,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_ptoilgas.nc,AQM,,,,,.nc,43868360,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_rail.nc,AQM,,,,,.nc,199167703,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190801_rwc.nc,AQM,,,,,.nc,246880647,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_afdustadj.nc,AQM,,,,,.nc,117916402,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_ag.nc,AQM,,,,,.nc,12665957,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_airports.nc,AQM,,,,,.nc,177322657,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_cmv_c1c2_12.nc,AQM,,,,,.nc,14270135,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_cmv_c3_12.nc,AQM,,,,,.nc,20843361,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_nonpt.nc,AQM,,,,,.nc,366550750,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_nonroad.nc,AQM,,,,,.nc,332914936,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_npoilgas.nc,AQM,,,,,.nc,73992457,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_onroad.nc,AQM,,,,,.nc,362809362,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_onroadcaadj.nc,AQM,,,,,.nc,25393040,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_onroadcan.nc,AQM,,,,,.nc,180059506,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_onroadmex.nc,AQM,,,,,.nc,46481374,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_othafdustadj.nc,AQM,,,,,.nc,66302020,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_othar.nc,AQM,,,,,.nc,251676874,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_othpt.nc,AQM,,,,,.nc,62176173,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_othptdustadj.nc,AQM,,,,,.nc,25866786,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_pt_oilgas.nc,AQM,,,,,.nc,29350057,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_pt_ptnonipm.nc,AQM,,,,,.nc,67487443,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_ptegu.nc,AQM,,,,,.nc,14406087,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_ptnonipm.nc,AQM,,,,,.nc,122181783,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_ptoilgas.nc,AQM,,,,,.nc,43868360,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_rail.nc,AQM,,,,,.nc,199167703,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190802_rwc.nc,AQM,,,,,.nc,248033061,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_afdustadj.nc,AQM,,,,,.nc,117133865,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_ag.nc,AQM,,,,,.nc,12665248,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_airports.nc,AQM,,,,,.nc,177328859,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_cmv_c1c2_12.nc,AQM,,,,,.nc,13932782,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_cmv_c3_12.nc,AQM,,,,,.nc,21443007,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_nonpt.nc,AQM,,,,,.nc,366567064,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_nonroad.nc,AQM,,,,,.nc,332616569,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_npoilgas.nc,AQM,,,,,.nc,73992457,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_onroad.nc,AQM,,,,,.nc,362863266,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_onroadcaadj.nc,AQM,,,,,.nc,25388228,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_onroadcan.nc,AQM,,,,,.nc,180025994,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_onroadmex.nc,AQM,,,,,.nc,46498386,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_othafdustadj.nc,AQM,,,,,.nc,67887755,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_othar.nc,AQM,,,,,.nc,251962047,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_othpt.nc,AQM,,,,,.nc,62143743,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_othptdustadj.nc,AQM,,,,,.nc,26748796,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_pt_oilgas.nc,AQM,,,,,.nc,29349304,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_pt_ptnonipm.nc,AQM,,,,,.nc,67488558,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_ptegu.nc,AQM,,,,,.nc,14027501,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_ptnonipm.nc,AQM,,,,,.nc,122181403,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_ptoilgas.nc,AQM,,,,,.nc,43868714,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_rail.nc,AQM,,,,,.nc,199167703,NEI2016v1,NEXUS,input-data-20221101,2020-07
NEI2016v1_0.1x0.1_20190803_rwc.nc,AQM,,,,,.nc,248942977,NEI2016v1,NEXUS,input-data-20221101,2020-07
timezones_1x1.edit.nc,AQM,,,,,.nc,26543,TIMEZONES,NEXUS,input-data-20221101,2015-02
timezones_1x1.nc,AQM,,,,,.nc,25716,TIMEZONES,NEXUS,input-data-20221101,2015-02
timezones_voronoi_1x1.nc,AQM,,,,,.nc,28092,TIMEZONES,NEXUS,input-data-20221101,2015-02
nexus_nei2016_control_tilefix.py,AQM,,,,,.py,1359,,NEXUS,input-data-20221101,
nexus_nei2016_linker.py,AQM,,,,,.py,8641,,NEXUS,input-data-20221101,
nexus_root_parser.py,AQM,,,,,.py,1379,,NEXUS,input-data-20221101,
nexus_time_parser.py,AQM,,,,,.py,1684,,NEXUS,input-data-20221101,
AE_cb6r3_ae6_aq.nml,AQM,,,,,.nml,5980,,fix,input-data-20221101,
BEIS_RRFScmaq_C775.ncf,AQM,775,,,,.ncf,29095124,,fix,input-data-20221101,
C775.facsf.tile7.halo0.nc,AQM,775,,,,.nc,1111417,,fix,input-data-20221101,
C775.facsf.tile7.halo4.nc,AQM,775,,,,.nc,1172473,,fix,input-data-20221101,
C775.maximum_snow_albedo.tile7.halo0.nc,AQM,775,,,,.nc,1111362,,fix,input-data-20221101,
C775.maximum_snow_albedo.tile7.halo4.nc,AQM,775,,,,.nc,1172418,,fix,input-data-20221101,
C775.slope_type.tile7.halo0.nc,AQM,775,,,,.nc,1111422,,fix,input-data-20221101,
C775.slope_type.tile7.halo4.nc,AQM,775,,,,.nc,1172478,,fix,input-data-20221101,
C775.snowfree_albedo.tile7.halo0.nc,AQM,775,,,,.nc,18388604,,fix,input-data-20221101,
C775.snowfree_albedo.tile7.halo4.nc,AQM,775,,,,.nc,19406204,,fix,input-data-20221101,
C775.soil_type.tile7.halo0.nc,AQM,775,,,,.nc,1111352,,fix,input-data-20221101,
C775.soil_type.tile7.halo4.nc,AQM,775,,,,.nc,1172408,,fix,input-data-20221101,
C775.substrate_temperature.tile7.halo0.nc,AQM,775,,,,.nc,1111467,,fix,input-data-20221101,
C775.substrate_temperature.tile7.halo4.nc,AQM,775,,,,.nc,1172523,,fix,input-data-20221101,
C775.vegetation_greenness.tile7.halo0.nc,AQM,775,,,,.nc,5153775,,fix,input-data-20221101,
