Data File,UFS Component,Resolution (C),Ocean Resolution (o),Ocean Resolution (mx),Ocean Resolution (w/o symbol),Data Format,Category,Sub-Category,Dataset,File Size (Bytes),Version
NEI2016v1_0.1x0.1_20190803_onroadcaadj.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,25388228,2020-07
NEI2016v1_0.1x0.1_20190803_onroadcan.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,180025994,2020-07
NEI2016v1_0.1x0.1_20190803_onroadmex.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,46498386,2020-07
NEI2016v1_0.1x0.1_20190803_othafdustadj.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,67887755,2020-07
NEI2016v1_0.1x0.1_20190803_othar.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,251962047,2020-07
NEI2016v1_0.1x0.1_20190803_othpt.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,62143743,2020-07
NEI2016v1_0.1x0.1_20190803_othptdustadj.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,26748796,2020-07
NEI2016v1_0.1x0.1_20190803_pt_oilgas.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,29349304,2020-07
NEI2016v1_0.1x0.1_20190803_pt_ptnonipm.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,67488558,2020-07
NEI2016v1_0.1x0.1_20190803_ptegu.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,14027501,2020-07
NEI2016v1_0.1x0.1_20190803_ptnonipm.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,122181403,2020-07
NEI2016v1_0.1x0.1_20190803_ptoilgas.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,43868714,2020-07
NEI2016v1_0.1x0.1_20190803_rail.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,199167703,2020-07
